id;name;description;interest_rate
1;Berkshire Automotive;Forest;11150
2;cross-platform regional;extensible Assurance Corporate;61151
3;e-business;object-oriented Handmade SMTP;23235
4;Central Berkshire lime;aggregate generate;46800
5;Music;Fantastic Cambridgeshire Pike;98301
6;pink Research bypassing;synthesizing;12244
7;invoice content facilitate;whiteboard stable;81253
8;Vision-oriented turquoise Forward;Vatu Tactics Practical;48973
9;Checking copy generate;Towels;71082
10;Poland;Triple-buffered Texas;64320
